Código,Título,Grupo de alimentos,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,β caroteno equivalentes totales <CARTBQ>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
A101,"Llipta sara, variedad de maíz",CEREALES Y DERIVADOS,370kcal,1550KJ,11.30g,7.40g,4.20g,75.90g,-1.00g,-1.00g,1.40g,5mg,244mg,-1.00mg,1.40mg,-1mg,-1mg,-1μg,-1μg,0.31mg,0.12mg,-1.00mg,0.85mg,-1μg,
A102,"Maíz blanco, harina",CEREALES Y DERIVADOS,343kcal,1435KJ,11.60g,5.50g,5.00g,76.60g,71.00g,5.60g,1.30g,19mg,272mg,1.73mg,2.35mg,2mg,6mg,-1μg,11μg,0.25mg,0.08mg,1.90mg,0.00mg,0μg,
A103,"Maíz blanco precocido, harina de (chochoca)",CEREALES Y DERIVADOS,328kcal,1371KJ,12.10g,6.80g,5.20g,74.80g,65.90g,8.90g,1.20g,-1mg,-1mg,1.76mg,2.08mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A104,"Maíz morado, harina de (api)",CEREALES Y DERIVADOS,318kcal,1331KJ,11.40g,8.50g,4.20g,74.30g,64.50g,9.80g,1.70g,29mg,300mg,2.60mg,6.47mg,16mg,63mg,-1μg,-1μg,-1.00mg,-1.00mg,-1.00mg,-1.00mg,-1μg,
A105,Pan árabe,CEREALES Y DERIVADOS,290kcal,1213KJ,27.80g,10.30g,3.50g,56.70g,54.30g,2.40g,1.70g,-1mg,-1mg,-1.00mg,6.98mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.32mg,6.47mg,-1.00mg,106μg,
A106,Pan cachanga,CEREALES Y DERIVADOS,445kcal,1862KJ,17.40g,7.70g,26.10g,47.40g,-1.00g,-1.00g,1.40g,-1mg,-1mg,-1.00mg,3.99mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.27mg,-1.00mg,-1.00mg,-1μg,
A107,Pan campesino de Lima,CEREALES Y DERIVADOS,276kcal,1153KJ,36.10g,10.00g,5.70g,46.00g,-1.00g,-1.00g,2.20g,-1mg,-1mg,-1.00mg,3.53mg,-1mg,-1mg,-1μg,-1μg,0.48mg,0.21mg,2.46mg,-1.00mg,142μg,
A108,Pan ciabatta,CEREALES Y DERIVADOS,265kcal,1108KJ,32.10g,9.20g,2.00g,55.00g,52.60g,2.50g,1.70g,-1mg,-1mg,-1.00mg,5.59mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.71mg,4.94mg,-1.00mg,122μg,
A109,Pan chapla,CEREALES Y DERIVADOS,321kcal,1343KJ,22.20g,9.30g,3.50g,63.20g,-1.00g,-1.00g,1.90g,-1mg,-1mg,-1.00mg,4.67mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.37mg,-1.00mg,-1.00mg,-1μg,
A110,Pan chuta,CEREALES Y DERIVADOS,387kcal,1620KJ,16.30g,9.50g,11.10g,62.30g,-1.00g,-1.00g,0.80g,-1mg,-1mg,-1.00mg,4.71mg,-1mg,-1mg,-1μg,-1μg,-1.00mg,0.39mg,-1.00mg,-1.00mg,-1μg,
A111,Pan cortadillo de Cajamarca,CEREALES Y DERIVADOS,361kcal,1509KJ,17.80g,6.90g,7.10g,67.20g,-1.00g,-1.00g,1.00g,-1mg,-1mg,-1.00mg,4.37mg,-1mg,-1mg,-1μg,-1μg,0.63mg,0.29mg,5.49mg,-1.00mg,65μg,
